file,npts,vmin,vmax,vstep_med,Lmax,Jmax,PDmax,pd_noise_off,L_per_PDV,noise_L_equiv,J_leak,J_rev,EQEmax,L_at_EQEmax,EQE_1,EQE_10,EQE_100,EQE_1000,lum_per_mW
2021-08-11_BSB4 Cs var_d43_p5_jvl_eval.csv,39,-2.0,8.0,0.2,2.2,5767.41687,0.0001728,nan,nan,nan,219.74444,225.65325,nan,nan,nan,nan,nan,nan,24444.444444444445
2021-08-11_BSB4 Cs var_d43_p8_jvl_eval.csv,39,-2.0,8.0,0.2,3.26,5002.89188,0.0002561,nan,nan,nan,402.14006,533.37188,nan,nan,nan,nan,nan,nan,25076.923076923078
2021-08-11_BSB4 Cs var_d44_p1_jvl_eval.csv,29,-2.0,6.0,0.2,1.16,2.27118,9.07e-05,nan,nan,nan,0.51258,2.27118,60.39,0.78,11.751172279759064,nan,nan,nan,23199.999999999996
2021-08-11_BSB4 Cs var_d44_p4_jvl_eval.csv,29,-2.0,6.0,0.2,-0.01,2.19186,0.0004015,nan,nan,nan,0.00122,0.00181,nan,nan,nan,nan,nan,nan,nan
2021-08-11_BSB4 Cs var_d44_p5_jvl_eval.csv,29,-2.0,6.0,0.2,2.53,3683.26875,0.0002813,nan,nan,nan,0.00537,0.00728,107.01,1.12,36.01354930408777,nan,nan,nan,25299.999999999996
2021-08-11_BSB4 Cs var_d44_p8_jvl_eval.csv,29,-2.0,6.0,0.2,1.99,4712.74875,0.0001564,nan,nan,nan,197.48481,192.40125,nan,nan,nan,nan,nan,nan,24874.999999999996
2021-08-12_Annealed40nmETL_d31_p4_jvl_eval.csv,43,-2.0,7.0,0.1,174.79,8.45781,0.0031611,nan,55292.047263890054,nan,0.00067,0.00149,0.8,59.31,nan,0.41293190395041707,0.7313186155147977,nan,135496.12403100776
2021-08-12_Annealed40nmETL_d31_p5_jvl_eval.csv,43,-2.0,7.0,0.1,213.51,10.19208,0.0038615,nan,55292.713480591,nan,0.00064,0.00151,241.15,8.23,0.8073716896394527,0.5132300850167585,0.810602300651527,nan,135993.6305732484
2021-08-18_BSB4 pin OLED Al_d11_p1_jvl_eval.csv,49,-2.0,6.0,0.1,2.16,787.27,0.0001434,nan,nan,nan,0.58045,1.57046,0.25,0.73,nan,nan,nan,nan,24000.0
2021-08-18_BSB4 pin OLED Al_d11_p4_jvl_eval.csv,49,-2.0,6.0,0.1,0.98,0.94635,0.0001388,nan,nan,nan,0.06654,0.0377,3.14,0.34,nan,nan,nan,nan,24499.999999999996
2021-08-18_BSB4 pin OLED Al_d11_p5_jvl_eval.csv,49,-2.0,6.0,0.1,1.77,6.25944,0.0001157,3.3586032811274395e-05,nan,nan,0.00036,0.00026,6032.32,1.01,4546.948370730781,nan,nan,nan,25285.71428571429
2021-08-18_BSB4 pin OLED Al_d11_p8_jvl_eval.csv,49,-2.0,6.0,0.1,1.47,2.14424,0.0001435,nan,nan,nan,0.01325,0.06451,86.3,0.53,0.14335425253866263,nan,nan,nan,24500.0
2021-08-18_BSB4 pin OLED Al_d12_p1_jvl_eval.csv,69,-2.0,8.0,0.1,0.98,6.07437,0.0001501,nan,nan,nan,0.00582,0.00949,32.58,0.78,nan,nan,nan,nan,24499.999999999996
2021-08-18_BSB4 pin OLED Al_d12_p4_jvl_eval.csv,69,-2.0,8.0,0.1,2.29,165.96075,0.0001494,nan,nan,nan,0.00329,0.00727,260.09,1.62,22.726714799026293,nan,nan,nan,25444.44444444444
2021-08-18_BSB4 pin OLED Al_d12_p5_jvl_eval.csv,69,-2.0,8.0,0.1,0.76,2.21391,0.0001638,4.01454427120911e-05,nan,nan,1e-05,2.21391,10748.49,0.45,nan,nan,nan,nan,25333.333333333332
2021-08-18_BSB4 pin OLED Al_d12_p8_jvl_eval.csv,69,-2.0,8.0,0.1,1.59,8.60411,0.0001042,1.0223384958026377e-05,nan,nan,0.00014,0.00057,4058.1,0.34,0.05757925405579638,nan,nan,nan,26500.0
2021-08-18_BSB4 pin OLED Al_d14_p1_jvl_eval.csv,39,-2.0,8.0,0.2,1.86,1.38245,0.0001219,nan,nan,nan,0.00458,0.03893,86.53,1.15,0.6244055403814658,nan,nan,nan,26571.428571428576
2021-08-18_BSB4 pin OLED Al_d14_p4_jvl_eval.csv,39,-2.0,8.0,0.2,0.9,6.65989,5.89e-05,nan,nan,nan,0.00542,0.09488,107.17,0.46,nan,nan,nan,nan,22500.0
2021-08-18_BSB4 pin OLED Al_d14_p5_jvl_eval.csv,39,-2.0,8.0,0.2,0.33,1.56977,0.0001211,nan,nan,nan,0.00412,0.04138,2.74,0.33,nan,nan,nan,nan,33000.0
2021-08-18_BSB4 pin OLED Al_d14_p8_jvl_eval.csv,39,-2.0,8.0,0.2,0.02,1.58138,0.0002078,nan,nan,nan,0.00996,0.03256,3.73,0.02,nan,nan,nan,nan,nan
2021-08-18_BSB4 pin OLED Al_d21_p1_jvl_eval.csv,39,-2.0,8.0,0.2,0.4,10.45332,0.0001876,nan,nan,nan,1.35876,0.00321,0.03,0.4,nan,nan,nan,nan,20000.0
2021-08-18_BSB4 pin OLED Al_d21_p4_jvl_eval.csv,39,-2.0,8.0,0.2,3.17,4.85205,0.0002073,nan,nan,nan,0.01369,0.08113,206.83,2.45,1.7851523324729681,nan,nan,nan,24384.615384615387
2021-08-18_BSB4 pin OLED Al_d21_p5_jvl_eval.csv,39,-2.0,8.0,0.2,0.18,5.63229,0.0002119,4.527523237562306e-05,nan,nan,6e-05,0.00014,2339.81,0.1,nan,nan,nan,nan,17999.999999999996
2021-08-18_BSB4 pin OLED Al_d21_p8_jvl_eval.csv,39,-2.0,8.0,0.2,1.1,5.93631,0.0001838,nan,nan,nan,0.12993,0.12395,0.04,0.43,0.03192239885911077,nan,nan,nan,27500.0
2021-08-18_BSB4 pin OLED Al_d22_p1_jvl_eval.csv,39,-2.0,8.0,0.2,0.39,75.01637,0.0001411,4.873246750189066e-05,nan,nan,1e-05,4e-05,2284.97,0.19,nan,nan,nan,nan,19500.0
2021-08-18_BSB4 pin OLED Al_d22_p4_jvl_eval.csv,39,-2.0,8.0,0.2,-0.14,7e-05,0.0001811,3.42416815411656e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
2021-08-18_BSB4 pin OLED Al_d22_p5_jvl_eval.csv,39,-2.0,8.0,0.2,1.14,1e-05,0.0001017,4.469344423875184e-05,nan,nan,0.0,1e-05,27200.26,1.14,24075.28464789254,nan,nan,nan,28499.999999999996
2021-08-18_BSB4 pin OLED Al_d22_p8_jvl_eval.csv,39,-2.0,8.0,0.2,3.59,6.40576,0.0002344,5.34107795058239e-05,nan,nan,0.0,0.0,65039.33,2.72,nan,nan,nan,nan,25642.857142857145
2021-08-18_BSB4 pin OLED Al_d23_p1_jvl_eval.csv,39,-2.0,8.0,0.2,4.08,0.0,0.0002665,7.392834324028763e-05,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,25500.0
