file,class,Lmax,J_leak,EQE_100,Eplateau,noiseL,offL,L_min_trust
2021-08-25_CBP with BSBCz_d21_p8_jvl_eval.csv,reliable,859.92,0.00093,1.6408951510951713,1.7,2.464717760932401,0.7087053685834576,25.0
2021-08-25_CBP with BSBCz_d22_p1_jvl_eval.csv,marginal,338.42,0.0,1.75783211540744,,,,
2021-08-25_CBP with BSBCz_d22_p4_jvl_eval.csv,reliable,536.42,1e-05,1.75,1.76,1.415534397908557,-2.690143490258376,14.0
2021-08-25_CBP with BSBCz_d22_p5_jvl_eval.csv,reliable,607.0,0.00096,1.7301907045107634,1.7,0.6261950619305776,4.420928345186297,6.0
2021-08-25_CBP with BSBCz_d22_p8_jvl_eval.csv,reliable,562.86,0.00731,0.9357971542556136,1.295,1.8511764563429316,-0.8313207686563193,19.0
2021-08-25_CBP with BSBCz_d23_p1_jvl_eval.csv,dead,0.0,1e-05,,,,,
2021-08-25_CBP with BSBCz_d23_p4_jvl_eval.csv,dead,0.0,1e-05,,,,,
2021-08-25_CBP with BSBCz_d23_p5_jvl_eval.csv,dead,0.0,0.10474,,,,,
2021-08-25_CBP with BSBCz_d23_p8_jvl_eval.csv,dead,0.0,106.58037,,,,,
2021-08-25_CBP with BSBCz_d24_p1_jvl_eval.csv,reliable,1755.71,0.00204,1.4281226196843664,1.755,0.4499250608112931,1.385322542468162,4.0
2021-08-25_CBP with BSBCz_d24_p4_jvl_eval.csv,reliable,1843.37,0.00054,1.8983825317425744,1.895,0.8715442346775473,-1.012267292025454,9.0
2021-08-25_CBP with BSBCz_d24_p5_jvl_eval.csv,reliable,1838.77,0.00133,1.848831004908026,1.89,0.6980183898220095,-2.495766735491715,7.0
2021-08-25_CBP with BSBCz_d24_p8_jvl_eval.csv,reliable,1721.3,0.00056,1.7583480487193504,1.83,1.4991196301144198,1.455135818373227,15.0
2021-08-25_CBP with BSBCz_d31_p1_jvl_eval.csv,reliable,705.63,0.00495,1.4016608798697676,1.77,0.7347815818446914,0.6087368461548756,7.0
2021-08-25_CBP with BSBCz_d31_p4_jvl_eval.csv,reliable,530.79,0.00889,1.1471452221623335,1.54,0.756941313052555,4.129048425488742,8.0
2021-08-25_CBP with BSBCz_d31_p5_jvl_eval.csv,dead,0.0,5.33028,,,,,
2021-08-25_CBP with BSBCz_d31_p8_jvl_eval.csv,reliable,749.67,0.00178,1.474563157882925,1.6949999999999998,1.0917809990783631,-0.1963666388755661,11.0
2021-08-25_CBP with BSBCz_d32_p1_jvl_eval.csv,marginal,474.97,1e-05,1.841933430228469,,,,
2021-08-25_CBP with BSBCz_d32_p4_jvl_eval.csv,reliable,563.19,2e-05,1.90183389243312,1.835,1.423925325841699,1.6077536125640317,14.0
2021-08-25_CBP with BSBCz_d32_p5_jvl_eval.csv,reliable,535.54,0.00031,1.7363574734802278,1.78,1.8211596734906128,-3.0076890332401147,18.0
2021-08-25_CBP with BSBCz_d32_p8_jvl_eval.csv,marginal,395.07,1e-05,1.866445590867508,,,,
2021-08-25_CBP with BSBCz_d33_p1_jvl_eval.csv,reliable,1579.48,9e-05,1.7923886865653855,1.79,1.098367186038919,0.6677314211646946,11.0
2021-08-25_CBP with BSBCz_d33_p4_jvl_eval.csv,reliable,1638.49,0.00238,1.441311000656358,1.66,1.5003240615504922,-6.522578115718189,15.0
2021-08-25_CBP with BSBCz_d33_p5_jvl_eval.csv,reliable,1609.81,1e-05,1.7934841268908486,1.8,1.3797390466229966,0.1710047901852894,14.0
2021-08-25_CBP with BSBCz_d33_p8_jvl_eval.csv,reliable,1646.54,1e-05,1.8018188985154373,1.79,1.6634552552984267,1.3436027944111777,17.0
2021-08-25_CBP with BSBCz_d34_p1_jvl_eval.csv,reliable,1373.65,1e-05,1.9209463642041176,1.965,2.004609624990606,-0.3141520770346551,20.0
