file,noiseL,offL,pdnoise,LperPD,Eplateau,n_1_10,n_10_100,gain
2021-09-02_210901_d23_p5_jvl_eval.csv,1.1140963267034696,-1.7395293539961736,3.3912276538150604e-05,32852.30130304388,4.4,0,1,
2021-09-02_210901_d23_p8_jvl_eval.csv,1.1488589535426792,-0.752317264624743,3.497044567925775e-05,32852.28229802371,4.45,0,1,
2021-09-02_210901_d24_p1_jvl_eval.csv,0.8190864900607318,0.5279361673288883,2.5211675742599897e-05,32488.379527931582,4.26,0,1,
2021-09-02_210901_d24_p4_jvl_eval.csv,0.5888712469375208,0.7342364613600072,1.812561876338448e-05,32488.338998230407,4.29,0,1,
2021-09-02_210901_d24_p5_jvl_eval.csv,0.24674521846827127,0.7667252340955163,7.5948813171913505e-06,32488.35737692866,4.29,0,1,
2021-09-02_210901_d24_p8_jvl_eval.csv,0.7104169500306434,-0.12020693046918035,2.1866815040147027e-05,32488.35958626496,4.28,0,1,
2021-09-02_210901_d33_p1_jvl_eval.csv,0.5953895393105154,1.4507638970196048,1.8508916770032762e-05,32167.713902873722,2.69,0,5,
2021-09-08_210907_d11_p1_jvl_eval.csv,0.4214862655362141,0.5918988368375053,1.5772831775626793e-05,26722.295116817397,1.55,0,1,
2021-09-08_210907_d11_p4_jvl_eval.csv,0.5623044409547513,0.5117330105491584,2.1042476882090982e-05,26722.350420321593,1.585,0,2,
2021-09-08_210907_d11_p5_jvl_eval.csv,0.4769046932548632,-0.7575768966256078,1.784670059765172e-05,26722.289122596398,1.64,0,2,
2021-09-08_210907_d11_p8_jvl_eval.csv,0.464255115876638,0.4302290916527455,1.7373319263232982e-05,26722.303829363074,1.58,0,2,
2021-09-08_210907_d12_p1_jvl_eval.csv,0.4935838911090169,-1.5713255893849107,1.74336281045825e-05,28312.172781710102,1.7349999999999999,0,2,
2021-09-08_210907_d12_p8_jvl_eval.csv,0.5118080257385286,0.581815486872729,1.807730314203114e-05,28312.189142225256,1.71,0,2,
2021-09-08_210907_d13_p1_jvl_eval.csv,0.3586654027234257,0.0969156774406061,1.2582715216606559e-05,28504.61101194297,1.745,0,2,
2021-09-08_210907_d13_p4_jvl_eval.csv,0.7347880422582619,-0.31070013967666643,2.5777875957667438e-05,28504.59997033637,1.725,0,2,
