theta_deg,ITO50 + chirped DBR (air): 1-R (%),ITO50 + chirped DBR + Ag: 1-R (%),Ag: 1-R (%),ITO50 + DBR + Ag (re-opt): 1-R (%),LiF only + Ag (no ITO50): 1-R (%),ITO50 + chirped DBR (air): T (%),ITO50 + chirped DBR + Ag: T (%),Ag: T (%),ITO50 + DBR + Ag (re-opt): T (%),LiF only + Ag (no ITO50): T (%),cos.sin (norm)
58.25,4.8288734496339885,6.510522113608011,4.83245052393443,5.428466300068919,4.749075660361212,0.0,0.0,0.0,0.0,0.0,0.8949684392578554
58.75000000000001,4.864208889109426,6.623081768157187,4.8789293959336515,5.46093913504965,4.7932346772385355,0.0,0.0,0.0,0.0,0.0,0.8870446091188802
59.25000000000001,4.907358509306492,6.72854580559345,4.926005754384093,5.496510513104152,4.844323700495059,0.0,0.0,0.0,0.0,0.0,0.8788505765989735
59.75,4.959984937800973,6.820895791958343,4.973299658366533,5.535851565875017,4.902244596679662,0.0,0.0,0.0,0.0,0.0,0.870388837679818
60.24999999999999,5.02202843672239,6.896735942368634,5.020418628131583,5.579430940707837,4.966787022541334,0.0,0.0,0.0,0.0,0.0,0.8616619698890594
60.75,5.091707168345084,6.956596668488337,5.06695922188105,5.627508227394028,5.037639802480083,0.0,0.0,0.0,0.0,0.0,0.8526726315151653
61.25000000000001,5.165887117459385,7.005197036255802,5.1125092936292456,5.680141842047382,5.1144006216081275,0.0,0.0,0.0,0.0,0.0,0.8434235607976865
61.75,5.24072185385655,7.0502741169324725,5.15665123249279,5.737205539906884,5.196583620369264,0.0,0.0,0.0,0.0,0.0,0.8339175750931614
62.24999999999999,5.312383123621546,7.100312223996131,5.198966481028345,5.7984078009748306,5.283624964219698,0.0,0.0,0.0,0.0,0.0,0.824157570016922
62.75,5.377770892307581,7.162227009033694,5.239041579646004,5.863309513899774,5.374886758471717,0.0,0.0,0.0,0.0,0.0,0.8141465185610617
63.25000000000001,5.435147969519209,7.239810259850819,5.27647586764218,5.931337090631566,5.469659763326582,0.0,0.0,0.0,0.0,0.0,0.803887470188833
63.75000000000001,5.4845951374060995,7.333050240177901,5.310890776204422,6.001789802843381,5.56716532655852,0.0,0.0,0.0,0.0,0.0,0.7933835499057524
64.25,5.528089841241632,7.438284334019643,5.341940375305949,6.073841421004598,5.666556927278889,0.0,0.0,0.0,0.0,0.0,0.7826379573076915
64.74999999999999,5.568974237808397,7.549160133423914,5.369322505954697,6.146537163927523,5.76692180723532,0.0,0.0,0.0,0.0,0.0,0.7716539656062504
65.25,5.610875794710875,7.658189023639397,5.3927894864134664,6.218787727022791,5.867283365606013,0.0,0.0,0.0,0.0,0.0,0.7604349206317057
65.75,5.656649722104621,7.758341798052901,5.412157088619738,6.289362934048519,5.966605252850264,0.0,0.0,0.0,0.0,0.0,0.7489842398138381
66.25,5.707739371634844,7.844158236489249,5.4273103084219905,6.356888398494444,6.0637983363030665,0.0,0.0,0.0,0.0,0.0,0.7373054111409502
66.75,5.763843057435563,7.912426142264815,5.438204462151555,6.4198493870223725,6.157731842770961,0.0,0.0,0.0,0.0,0.0,0.7254019920973909
67.25,5.822774967126301,7.962786519133082,5.444860373965141,6.476606582408848,6.2472499385224225,0.0,0.0,0.0,0.0,0.0,0.7132776085799115
67.75000000000001,5.880640245859438,7.997918931941532,5.447352883938031,6.525428155803203,6.331194724487839,0.0,0.0,0.0,0.0,0.0,0.7009359537931833
68.25,5.932509677942628,8.022842262382753,5.445792577804244,6.564540905184326,6.408436066408475,0.0,0.0,0.0,0.0,0.0,0.6883807871248111
68.75,5.973582733537762,8.043407188648477,5.440301447101461,6.592200124151036,6.477907849621799,0.0,0.0,0.0,0.0,0.0,0.675615933000186
69.24999999999999,6.00027765122223,8.064678310572795,5.430984034742395,6.606774317388243,6.538649211326991,0.0,0.0,0.0,0.0,0.0,0.6626452797175307
69.75,6.010965130238545,8.08998279483501,5.417896397050746,6.606838496447151,6.5898481967467255,0.0,0.0,0.0,0.0,0.0,0.6494727782634842
