series,n_o,n_e,n_SPP_Ag,d_ETL_nm,eta_sub,spp,abs,wg
n_o=1.80,1.8000,1.7800,2.0169,100.0,0.763859,0.223445,0.012696,0.000000
n_o=1.80,1.8000,1.7800,2.0169,150.0,0.882502,0.100377,0.017121,0.000000
n_o=1.80,1.8000,1.8000,2.0408,60.0,0.597737,0.393732,0.008531,0.000000
n_o=1.80,1.8000,1.8000,2.0408,100.0,0.760350,0.227166,0.012484,0.000000
n_o=1.80,1.8000,1.8000,2.0408,150.0,0.882585,0.100405,0.017010,0.000000
n_o=1.90,1.9000,1.3600,1.5433,60.0,0.970385,0.004396,0.025219,0.000000
n_o=1.90,1.9000,1.3600,1.5433,100.0,0.970553,0.002363,0.027084,0.000000
n_o=1.90,1.9000,1.3600,1.5433,150.0,0.962396,0.004536,0.033068,0.000000
n_o=1.90,1.9000,1.3800,1.5668,60.0,0.967078,0.005601,0.027321,0.000000
n_o=1.90,1.9000,1.3800,1.5668,100.0,0.969217,0.002502,0.028281,0.000000
n_o=1.90,1.9000,1.3800,1.5668,150.0,0.961334,0.004549,0.034118,0.000000
n_o=1.90,1.9000,1.4000,1.5903,60.0,0.961587,0.007959,0.030454,0.000000
n_o=1.90,1.9000,1.4000,1.5903,100.0,0.967628,0.002699,0.029673,0.000000
n_o=1.90,1.9000,1.4000,1.5903,150.0,0.960130,0.004572,0.035298,0.000000
n_o=1.90,1.9000,1.4200,1.6138,60.0,0.948410,0.015818,0.035772,0.000000
n_o=1.90,1.9000,1.4200,1.6138,100.0,0.965671,0.002992,0.031337,0.000000
n_o=1.90,1.9000,1.4200,1.6138,150.0,0.958741,0.004613,0.036646,0.000000
n_o=1.90,1.9000,1.4400,1.6373,60.0,0.900530,0.068369,0.031101,0.000000
n_o=1.90,1.9000,1.4400,1.6373,100.0,0.963140,0.003453,0.033407,0.000000
n_o=1.90,1.9000,1.4400,1.6373,150.0,0.957100,0.004682,0.038219,0.000000
n_o=1.90,1.9000,1.4600,1.6609,60.0,0.848707,0.126476,0.024817,0.000000
n_o=1.90,1.9000,1.4600,1.6609,100.0,0.959604,0.004252,0.036143,0.000000
n_o=1.90,1.9000,1.4600,1.6609,150.0,0.955091,0.004799,0.040111,0.000000
n_o=1.90,1.9000,1.4800,1.6845,60.0,0.810352,0.168632,0.021016,0.000000
n_o=1.90,1.9000,1.4800,1.6845,100.0,0.953968,0.005895,0.040137,0.000000
n_o=1.90,1.9000,1.4800,1.6845,150.0,0.952507,0.005009,0.042485,0.000000
n_o=1.90,1.9000,1.5000,1.7082,60.0,0.781993,0.199523,0.018484,0.000000
n_o=1.90,1.9000,1.5000,1.7082,100.0,0.941983,0.010949,0.047068,0.000000
n_o=1.90,1.9000,1.5000,1.7082,150.0,0.948918,0.005423,0.045659,0.000000
n_o=1.90,1.9000,1.5200,1.7319,60.0,0.760150,0.223168,0.016682,0.000000
n_o=1.90,1.9000,1.5200,1.7319,100.0,0.891106,0.063512,0.045383,0.000000
n_o=1.90,1.9000,1.5200,1.7319,150.0,0.943237,0.006405,0.050358,0.000000
n_o=1.90,1.9000,1.5400,1.7556,60.0,0.742521,0.242144,0.015335,0.000000
n_o=1.90,1.9000,1.5400,1.7556,100.0,0.838000,0.131385,0.030615,0.000000
n_o=1.90,1.9000,1.5400,1.7556,150.0,0.931385,0.010054,0.058562,0.000000
n_o=1.90,1.9000,1.5600,1.7794,60.0,0.727669,0.258042,0.014289,0.000000
n_o=1.90,1.9000,1.5600,1.7794,100.0,0.817781,0.157746,0.024473,0.000000
n_o=1.90,1.9000,1.5600,1.7794,150.0,0.889617,0.060249,0.050134,0.000000
n_o=1.90,1.9000,1.5800,1.8032,60.0,0.714692,0.271858,0.013450,0.000000
n_o=1.90,1.9000,1.5800,1.8032,100.0,0.809116,0.169560,0.021324,0.000000
n_o=1.90,1.9000,1.5800,1.8032,150.0,0.880916,0.088668,0.030415,0.000000
n_o=1.90,1.9000,1.6000,1.8271,60.0,0.703016,0.284224,0.012759,0.000000
n_o=1.90,1.9000,1.6000,1.8271,100.0,0.804548,0.176011,0.019441,0.000000
n_o=1.90,1.9000,1.6000,1.8271,150.0,0.886006,0.088183,0.025812,0.000000
n_o=1.90,1.9000,1.6200,1.8510,60.0,0.692268,0.295554,0.012178,0.000000
n_o=1.90,1.9000,1.6200,1.8510,100.0,0.801539,0.180267,0.018194,0.000000
n_o=1.90,1.9000,1.6200,1.8510,150.0,0.890526,0.085578,0.023896,0.000000
n_o=1.90,1.9000,1.6400,1.8749,60.0,0.682196,0.306124,0.011680,0.000000
n_o=1.90,1.9000,1.6400,1.8749,100.0,0.799126,0.183569,0.017306,0.000000
n_o=1.90,1.9000,1.6400,1.8749,150.0,0.893911,0.083229,0.022861,0.000000
n_o=1.90,1.9000,1.6600,1.8989,60.0,0.672633,0.316121,0.011246,0.000000
n_o=1.90,1.9000,1.6600,1.8989,100.0,0.796909,0.186452,0.016639,0.000000
n_o=1.90,1.9000,1.6600,1.8989,150.0,0.896416,0.081368,0.022216,0.000000
n_o=1.90,1.9000,1.6800,1.9229,60.0,0.663460,0.325678,0.010862,0.000000
n_o=1.90,1.9000,1.6800,1.9229,100.0,0.794717,0.189165,0.016118,0.000000
n_o=1.90,1.9000,1.6800,1.9229,150.0,0.898282,0.079939,0.021780,0.000000
n_o=1.90,1.9000,1.7000,1.9470,60.0,0.654595,0.334885,0.010519,0.000000
n_o=1.90,1.9000,1.7000,1.9470,100.0,0.792476,0.191827,0.015697,0.000000
n_o=1.90,1.9000,1.7000,1.9470,150.0,0.899677,0.078856,0.021467,0.000000
n_o=1.90,1.9000,1.7200,1.9711,60.0,0.645979,0.343811,0.010209,0.000000
n_o=1.90,1.9000,1.7200,1.9711,100.0,0.790156,0.194496,0.015348,0.000000
n_o=1.90,1.9000,1.7200,1.9711,150.0,0.900721,0.078045,0.021234,0.000000
n_o=1.90,1.9000,1.7400,1.9952,60.0,0.637570,0.352503,0.009927,0.000000
n_o=1.90,1.9000,1.7400,1.9952,100.0,0.787748,0.197199,0.015053,0.000000
n_o=1.90,1.9000,1.7400,1.9952,150.0,0.901496,0.077448,0.021056,0.000000
n_o=1.90,1.9000,1.7600,2.0194,60.0,0.629336,0.360997,0.009667,0.000000
n_o=1.90,1.9000,1.7600,2.0194,100.0,0.785254,0.199947,0.014799,0.000000
n_o=1.90,1.9000,1.7600,2.0194,150.0,0.902062,0.077020,0.020918,0.000000
n_o=1.90,1.9000,1.7800,2.0437,60.0,0.621254,0.369319,0.009427,0.000000
n_o=1.90,1.9000,1.7800,2.0437,100.0,0.782680,0.202744,0.014576,0.000000
n_o=1.90,1.9000,1.7800,2.0437,150.0,0.902461,0.076729,0.020810,0.000000
n_o=1.90,1.9000,1.8000,2.0680,60.0,0.613308,0.377489,0.009203,0.000000
n_o=1.90,1.9000,1.8000,2.0680,100.0,0.780033,0.205589,0.014378,0.000000
n_o=1.90,1.9000,1.8000,2.0680,150.0,0.902728,0.076547,0.020725,0.000000
n_o=1.90,1.9000,1.8200,2.0923,60.0,0.605485,0.385522,0.008993,0.000000
n_o=1.90,1.9000,1.8200,2.0923,100.0,0.777321,0.208478,0.014201,0.000000
n_o=1.90,1.9000,1.8200,2.0923,150.0,0.902886,0.076455,0.020659,0.000000
n_o=1.90,1.9000,1.8400,2.1167,60.0,0.597775,0.393429,0.008796,0.000000
n_o=1.90,1.9000,1.8400,2.1167,100.0,0.774553,0.211407,0.014040,0.000000
n_o=1.90,1.9000,1.8400,2.1167,150.0,0.902956,0.076435,0.020609,0.000000
n_o=1.90,1.9000,1.8600,2.1411,60.0,0.590172,0.401218,0.008609,0.000000
n_o=1.90,1.9000,1.8600,2.1411,100.0,0.771735,0.214371,0.013894,0.000000
n_o=1.90,1.9000,1.8600,2.1411,150.0,0.902953,0.076476,0.020571,0.000000
n_o=1.90,1.9000,1.8800,2.1656,60.0,0.582670,0.408897,0.008433,0.000000
n_o=1.90,1.9000,1.8800,2.1656,100.0,0.768876,0.217366,0.013758,0.000000
n_o=1.90,1.9000,1.8800,2.1656,150.0,0.902888,0.076566,0.020545,0.000000
n_o=1.90,1.9000,1.9000,2.1901,60.0,0.575266,0.416470,0.008264,0.000000
n_o=1.90,1.9000,1.9000,2.1901,100.0,0.765980,0.220387,0.013633,0.000000
n_o=1.90,1.9000,1.9000,2.1901,150.0,0.902773,0.076698,0.020529,0.000000
B3PyMPM,1.8205,1.6086,1.8190,60.0,0.692856,0.295127,0.012017,0.000000
B3PyMPM,1.8205,1.6086,1.8190,100.0,0.797421,0.184884,0.017695,0.000000
B3PyMPM,1.8205,1.6086,1.8190,150.0,0.872816,0.103931,0.023254,0.000000
B4PyMPM,1.8245,1.5600,1.7627,60.0,0.725646,0.260466,0.013888,0.000000
B4PyMPM,1.8245,1.5600,1.7627,100.0,0.822893,0.152846,0.024262,0.000000
B4PyMPM,1.8245,1.5600,1.7627,150.0,0.920202,0.018793,0.061006,0.000000
TPBi,1.7391,1.7138,1.9236,60.0,0.629324,0.361367,0.009309,0.000000
TPBi,1.7391,1.7138,1.9236,100.0,0.766731,0.220501,0.012767,0.000000
TPBi,1.7391,1.7138,1.9236,150.0,0.865622,0.117507,0.016872,0.000000
TCTA,1.8038,1.7141,1.9396,60.0,0.636532,0.353801,0.009666,0.000000
TCTA,1.8038,1.7141,1.9396,100.0,0.775748,0.210557,0.013696,0.000000
TCTA,1.8038,1.7141,1.9396,150.0,0.881704,0.100466,0.017830,0.000000
