case,k,U_k (power at pass k),p_k,A'_k,eta_ext^(k),fraction >60 deg,cumulative eta_ext,p (cos.sin),A' (cos.sin),eq3
Ag n_sub 1.5,68,9.83614693609183e-06,0.0533540294800911,0.054521646215629604,5.247980735987513e-07,0.9339027079959966,0.9112498224093312,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,69,8.802764275759904e-06,0.0531284863604516,0.054527365986198784,4.676775417589807e-07,0.9341301104151033,0.911250290086873,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,70,7.879775624376544e-06,0.05292155839500054,0.05453260412516603,4.1701000584494513e-07,0.9343387460512314,0.9112507070968788,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,71,7.055064925011372e-06,0.05273178847826532,0.05453739988787287,3.7202619132612847e-07,0.9345300835829359,0.9112510791230701,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,72,6.317902044270444e-06,0.05255782055598318,0.054541789544879316,3.320551619330453e-07,0.9347054898845977,0.911251411178232,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,73,5.658774728652984e-06,0.052398394799141594,0.054545806573280786,2.9651071231136443e-07,0.9348662348791389,0.9112517076889444,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,74,5.069242483912101e-06,0.052252342611035445,0.05454948184186148,2.648797950477914e-07,0.9350134965610573,0.9112519725687395,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,75,4.541809279330254e-06,0.05211858156293276,0.0545528437891053,2.367126573680587e-07,0.935148366093134,0.9112522092813968,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,76,4.06981245075848e-06,0.05199611033580857,0.05455591859335829,2.1161441723568542e-07,0.935271852898471,0.911252420895814,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,77,3.6473255717718498e-06,0.05188400372989739,0.054558730334691496,1.8923785356996078e-07,0.935384889685395,0.9112526101336677,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,78,3.269073394309339e-06,0.05178140779033781,0.054561301148194574,1.6927722252727568e-07,0.9354883373563705,0.9112527794108902,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,79,2.9303572393798125e-06,0.051687535085731574,0.05456365136860597,1.5146294262417158e-07,0.935582989763642,0.9112529308738329,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,80,2.626989453654566e-06,0.05160166016680123,0.05456579966630959,1.3555701704925376e-07,0.9356695782840591,0.9112530664308499,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,81,2.3552357463306687e-06,0.051523115224293516,0.05456776317483314,1.2134908273856997e-07,0.9357487761936675,0.9112531877799327,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,82,2.1117643885805808e-06,0.05145128595864253,0.054569557610062214,1.0865299343413737e-07,0.9358212028293388,0.9112532964329261,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,83,1.8936014002093958e-06,0.05138560766849002,0.054571197381447334,9.730385863166337e-08,0.935887427530211,0.9112533937367847,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,84,1.698090968975691e-06,0.05132556156078811,0.05457269569551981,8.715547256398017e-08,0.9359479733561059,0.9112534808922573,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,85,1.5228604508456177e-06,0.0512706712817308,0.05457406465207393,7.807807758325403e-08,0.936003320583629,0.9112535589703349,0.4273761614677933,0.02755034248112953,0.9644005268479652
