ETL,d_ETL,Theta,eta_sub,spp,wg,abs,Aprime_Psub,eta_ext,EQE
3TPYMB,250.0,0.8,(0.9765972320728784+0j),(0.012487881298349534+0j),(2.6086538493716022e-05+0j),(0.010888800090278384+0j),(0.025976360566890122+0j),0.9301629649711025,(0.9083945769674805+0j)
3TPYMB,275.0,0.667,(0.9746997824926159+0j),(0.013721771953203139+0j),(2.3045947368918845e-05+0j),(0.01155539960681209+0j),(0.025909866101001766+0j),0.9324703625778066,(0.9088786595853987+0j)
3TPYMB,275.0,0.8,(0.9803142684303416+0j),(0.008671723012649415+0j),(2.6362992715179594e-05+0j),(0.01098764556429345+0j),(0.02563042256802084+0j),0.9318830353685871,(0.9135382360800026+0j)
3TPYMB,300.0,0.667,(0.9779552387277778+0j),(0.009937158652125421+0j),(2.4514284984290082e-05+0j),(0.012083088335112515+0j),(0.02595412504773864+0j),0.9325707872586393,(0.9120124868840742+0j)
3TPYMB,300.0,0.8,(0.9820724105259478+0j),(0.006332924271516212+0j),(2.827211094739656e-05+0j),(0.01156639309158845+0j),(0.02573917803760617+0j),0.9319657098103724,(0.9152578111609985+0j)
3TPYMB,325.0,0.667,(0.9801578156146193+0j),(0.007166538710172315+0j),(2.6077879856943452e-05+0j),(0.012649567795351549+0j),(0.02598780161398473+0j),0.93216914482898,(0.9136728727789207+0j)
3TPYMB,325.0,0.8,(0.9831195643860682+0j),(0.004625081095437794+0j),(3.0436507213373615e-05+0j),(0.012224918011280735+0j),(0.025834431549056847+0j),0.9316147102209958,(0.9158886480881185+0j)
3TPYMB,350.0,0.667,(0.9823460006742573+0j),(0.004902323931074725+0j),(2.629397525193995e-05+0j),(0.01272538141941607+0j),(0.02612960732679548+0j),0.9321597374432299,(0.9157033900669226+0j)
3TPYMB,350.0,0.8,(0.98443387589041+0j),(0.003182497529498465+0j),(3.083360832283192e-05+0j),(0.012352792971768639+0j),(0.0260523599898006+0j),0.9317884099569013,(0.9172840759236346+0j)
3TPYMB,375.0,0.667,(0.9844645895481988+0j),(0.0032028290442799277+0j),(2.5174575116924343e-05+0j),(0.01230740683240429+0j),(0.026017660404524245+0j),0.9327612085736111,(0.9182703803449019+0j)
3TPYMB,375.0,0.8,(0.9859872182829521+0j),(0.0020719190981843974+0j),(2.9362525222472896e-05+0j),(0.011911500093641012+0j),(0.025967162704705782+0j),0.9325971107196076,(0.9195288309771442+0j)
3TPYMB,400.0,0.667,(0.9860642933011703+0j),(0.002096202798696231+0j),(2.3872913080916084e-05+0j),(0.011815630987052695+0j),(0.02548670170716194+0j),0.9337877940480466,(0.9207748012312458+0j)
3TPYMB,400.0,0.8,(0.9872495749384319+0j),(0.0013480104209757566+0j),(2.76031107569919e-05+0j),(0.011374811529835422+0j),(0.025387607694253855+0j),0.9337738181931938,(0.9218678050998672+0j)
iso_no,50.0,0.667,(0.5258516117025177+0j),(0.4672940704909663+0j),(2.9424192826379784e-05+0j),(0.006824893613689663+0j),(0.028150871845355918+0j),0.9348501011455752,(0.4915924323876624+0j)
iso_no,50.0,0.8,(0.6360018673648449+0j),(0.3565626158500368+0j),(3.565740340859092e-05+0j),(0.0073998593817099+0j),(0.028141669013614812+0j),0.934963851098056,(0.5946387552169904+0j)
iso_no,75.0,0.667,(0.6736885561946148+0j),(0.31739339555181934+0j),(3.6670739209445154e-05+0j),(0.008881377514356617+0j),(0.027450224082365304+0j),0.936960545045435,(0.6312195968029785+0j)
iso_no,75.0,0.8,(0.7601423024704075+0j),(0.23063901486061045+0j),(4.196893255481725e-05+0j),(0.009176713736427247+0j),(0.02745251148514427+0j),0.9369141242891216,(0.7121880596541784+0j)
iso_no,100.0,0.667,(0.7707364442330067+0j),(0.2177464912287085+0j),(4.803241259078815e-05+0j),(0.011469032125694004+0j),(0.028298327733791484+0j),0.9338066595444935,(0.7197188243784247+0j)
iso_no,100.0,0.8,(0.8296201087320894+0j),(0.15865745872747491+0j),(5.490523842675659e-05+0j),(0.011667527302008826+0j),(0.02836613753070627+0j),0.9334418330048293,(0.7744021149925473+0j)
iso_no,125.0,0.667,(0.8419187348601992+0j),(0.14379887855903534+0j),(6.081223593374227e-05+0j),(0.014221574344831529+0j),(0.029666046622943587+0j),0.925800777760972,(0.779449019545106+0j)
iso_no,125.0,0.8,(0.876120527204971+0j),(0.1091425439242272+0j),(7.229617769986781e-05+0j),(0.014664632693101802+0j),(0.02990757032227742+0j),0.9240906776036864,(0.8096148116473406+0j)
iso_no,150.0,0.667,(0.902454764245424+0j),(0.08191273517126982+0j),(6.580681779306814e-05+0j),(0.015566693765513034+0j),(0.03103695878748447+0j),0.9169320251416797,(0.8274896745783138+0j)
iso_no,150.0,0.8,(0.9195286653789545+0j),(0.0642061261908437+0j),(8.078866985166516e-05+0j),(0.016184419760350142+0j),(0.031342829746402456+0j),0.9132646799871079,(0.8397730523262833+0j)
iso_no,175.0,0.667,(0.9436741930219646+0j),(0.04106382466473582+0j),(6.173040976738335e-05+0j),(0.015200251903532086+0j),(0.0319582548535251+0j),0.9115907569252965,(0.8602446719077611+0j)
iso_no,175.0,0.8,(0.952683267228145+0j),(0.03182272571732705+0j),(7.502626652614413e-05+0j),(0.015418980788001956+0j),(0.03200291257534471+0j),0.9076157698112362,(0.8646703569715565+0j)
iso_no,200.0,0.667,(0.9643640139695782+0j),(0.020879823614444133+0j),(5.752508416655003e-05+0j),(0.014698637331811088+0j),(0.03214489038711499+0j),0.9093578427932534,(0.8769519794108185+0j)
iso_no,200.0,0.8,(0.9698077470428175+0j),(0.015716310046476695+0j),(6.813598754017196e-05+0j),(0.014407806923165616+0j),(0.03170483863696194+0j),0.9064729648811725,(0.8791045038266329+0j)
iso_no,225.0,0.667,(0.9729589181403648+0j),(0.01193782636540088+0j),(5.840426372114447e-05+0j),(0.015044851230513056+0j),(0.03262325800943011+0j),0.9066515986536888,(0.8821347585563254+0j)
iso_no,225.0,0.8,(0.9767407943953104+0j),(0.00879241093322625+0j),(6.816772666599715e-05+0j),(0.014398626944797318+0j),(0.03173055635228095+0j),0.9050319355760196,(0.8839816117076467+0j)
iso_no,250.0,0.667,(0.9756436988851127+0j),(0.007921936464908+0j),(6.510790806791825e-05+0j),(0.016369256741911354+0j),(0.034099543982332836+0j),0.9006501495271773,(0.8787136432861251+0j)
iso_no,250.0,0.8,(0.9786272511381724+0j),(0.005771840691899245+0j),(7.62467235048598e-05+0j),(0.015524661446423458+0j),(0.03285696596655174+0j),0.9000501057031361,(0.8808135608308816+0j)
iso_no,275.0,0.667,(0.975785626176277+0j),(0.006067746875360893+0j),(7.515740341112521e-05+0j),(0.018071469544951008+0j),(0.03594958476481913+0j),0.8922479282615036,(0.8706427033831371+0j)
iso_no,275.0,0.8,(0.9783110870715348+0j),(0.004373757239572561+0j),(8.946681757587914e-05+0j),(0.01722568887131679+0j),(0.03442487834259467+0j),0.8924190335672738,(0.8730634348525281+0j)
iso_no,300.0,0.667,(0.9757493417498457+0j),(0.005475601323675134+0j),(8.256137142637572e-05+0j),(0.018692495555052778+0j),(0.03734557342192446+0j),0.885592192102369,(0.8641159985026894+0j)
iso_no,300.0,0.8,(0.9780193693432931+0j),(0.003827399427375182+0j),(9.958442109540637e-05+0j),(0.018053646808236273+0j),(0.03562991412346783+0j),0.8865255735016733,(0.8670391823028077+0j)
iso_no,325.0,0.667,(0.9766634927277961+0j),(0.006197211534329601+0j),(8.341959853075742e-05+0j),(0.01705587613934361+0j),(0.037706677390152654+0j),0.8836752423293756,(0.8630533486104895+0j)
iso_no,325.0,0.8,(0.9789327888392998+0j),(0.004125381054005041+0j),(0.00010024620060401886+0j),(0.01684158390609107+0j),(0.035850968807874084+0j),0.8855782886523025,(0.8669216238459329+0j)
iso_no,350.0,0.667,(0.9779693500277211+0j),(0.007310073297593547+0j),(8.141144659684044e-05+0j),(0.01463916522808841+0j),(0.03712294512920744+0j),0.8849920726144987,(0.8654951220344871+0j)
iso_no,350.0,0.8,(0.9803128627922462+0j),(0.004706228641424743+0j),(9.649855812899083e-05+0j),(0.014884410008200163+0j),(0.03508943805679665+0j),0.8877390880238821,(0.8702620467932697+0j)
iso_no,375.0,0.667,(0.9784121850089305+0j),(0.00785621984900783+0j),(8.229496499426892e-05+0j),(0.013649300177067641+0j),(0.036729594669970944+0j),0.8858199231511313,(0.8666970065347412+0j)
iso_no,375.0,0.8,(0.9808513296755145+0j),(0.0049898931016311935+0j),(9.665587108130248e-05+0j),(0.01406212135177309+0j),(0.03454455706064952+0j),0.8889290952961226,(0.8719072851084539+0j)
