sample4R,,sample4R2,,
Wavelength (nm),%R,Wavelength (nm),%R,
428,15.82286644,428,16.34300613,
426,16.57772827,426,16.85794067,
424,14.97843075,424,14.64643955,
422,17.9784565,422,17.10697746,
420,17.18243599,420,16.52311516,
418,15.98117542,418,14.64697075,
416,15.07808113,416,16.04524612,
414,17.49385834,414,18.07730484,
412,15.78921795,412,17.96125412,
410,16.8647995,410,17.28475189,
408,18.9098053,408,18.00754166,
406,16.58316994,406,17.05538368,
404,17.01373672,404,15.57915211,
402,16.8327198,402,15.58176422,
400,17.98859978,400,19.72953033,
398,17.69961929,398,18.77684021,
396,17.68074417,396,17.28489685,
394,21.05751801,394,20.56652641,
392,17.89279556,392,18.38566399,
390,21.17778587,390,20.97130203,
388,18.59702492,388,18.14355087,
386,21.10687256,386,20.03106308,
384,20.12581444,384,21.13733673,
382,22.26244736,382,28.20002747,
380,25.45075035,380,21.6006794,
378,27.15769958,378,25.80468941,
376,23.91488647,376,23.5094738,
374,20.98182678,374,24.0737133,
372,29.00509834,372,27.09543037,
370,27.59561539,370,32.98112869,
368,36.99922562,368,38.15029144,
366,34.93805313,366,32.59952545,
364,31.45789719,364,33.35575867,
362,35.89720917,362,37.82672501,
360,42.21562576,360,43.98433304,
358,34.54867172,358,46.18613052,
356,42.47338867,356,50.06954575,
354,50.48307037,354,59.95638275,
352,51.81813812,352,52.1453743,
350,51.24197769,350,46.27788544,
348,68.12852478,348,55.3780899,
346,52.72649384,346,71.10024261,
344,62.50808716,344,72.15364838,
342,52.82676697,342,72.44380188,
340,95.29373932,340,116.0087128,
338,61.32351303,338,92.39162445,
336,76.98093414,336,76.84069824,
334,87.10971069,334,118.5163879,
332,105.6287994,332,113.3088455,
330,121.9604492,330,107.226738,
328,87.96704102,328,123.4276199,
326,112.7220535,326,79.55819702,
324,212.8336945,324,354.1861877,
322,80.15616608,322,128.6717834,
320,93.47146606,320,129.4479065,
318,213.37323,318,302.2167969,
316,99.8010025,316,30.4448719,
314,143.0312653,314,121.3787079,
312,145.8116608,312,92.29184723,
310,127.4004822,310,146.9964142,
308,68.69049835,308,71.93939972,
306,116.9200287,306,67.29761505,
304,172.5392151,304,137.427597,
302,168.561615,302,144.7015686,
300,454.5152283,300,327.6247864,

