angle_deg,Al,Ag,ITO_50_nm_+_chirped_DBR,ITO_50_nm_+_plain_quarter-wave_DBR,weight
6.378379888268155895e+01,1.738096243604300284e+01,5.313099365420381304e+00,5.487690776938181081e+00,5.562107968985985806e+00,7.926541022496542688e-01
6.428603351955307232e+01,1.740914759231233688e+01,5.344039649799137592e+00,5.531078938286427160e+00,5.607620616237440458e+00,7.818438011043824520e-01
6.478826815642457859e+01,1.742551970923543792e+01,5.371259683186735856e+00,5.572102185910143390e+00,5.638336519386366597e+00,7.707932092815960035e-01
6.529050279329608486e+01,1.743013168211962238e+01,5.394512954524954829e+00,5.614410023000560024e+00,5.670863503696599750e+00,7.595057230532773485e-01
6.579273743016759113e+01,1.742317157941587524e+01,5.413618127833963456e+00,5.660800590482084615e+00,5.705995017868181307e+00,7.479848114981723084e-01
6.629497206703911161e+01,1.740492964861922687e+01,5.428464616130956877e+00,5.712599464879152933e+00,5.740088649987484359e+00,7.362340154356097344e-01
6.679720670391061788e+01,1.737575178624495464e+01,5.439013240605728328e+00,5.769335335701808454e+00,5.775668563330649263e+00,7.242569463372718896e-01
6.729944134078212414e+01,1.733598128531187399e+01,5.445290731858798416e+00,5.828620055612110384e+00,5.819275445437588345e+00,7.120572852172488698e-01
6.780167597765363041e+01,1.728589268559540670e+01,5.447377332299707220e+00,5.886366009065335803e+00,5.873395626439581463e+00,6.996387815007220068e-01
6.830391061452513668e+01,1.722562347727689769e+01,5.445387470108409289e+00,5.937534552742029348e+00,5.936113393896480517e+00,6.870052518716219803e-01
6.880614525139664295e+01,1.715511093456146696e+01,5.439444320504827068e+00,5.977346038811548468e+00,6.002932582910059267e+00,6.741605790996140213e-01
6.930837988826814922e+01,1.707404219101692533e+01,5.429649944518367022e+00,6.002359750186792020e+00,6.068019329385753835e+00,6.611087108467741391e-01
6.981061452513966969e+01,1.698182558408269927e+01,5.416053485691996627e+00,6.011176292748166006e+00,6.125373264161693143e+00,6.478536584543197474e-01
7.031284916201117596e+01,1.687759016132751455e+01,5.398620510760232527e+00,6.004545350388568181e+00,6.169574206044381448e+00,6.343994957097717213e-01
7.081508379888268223e+01,1.676021805472664994e+01,5.377206923145383399e+00,5.985043349773333077e+00,6.197228507980534928e+00,6.207503575949214758e-01
7.131731843575418850e+01,1.662841133670559657e+01,5.351540898865025930e+00,5.956699329570492196e+00,6.206846392144549363e+00,6.069104390149923089e-01
7.181955307262569477e+01,1.648079123815210423e+01,5.321215950533675354e+00,5.924520545063860055e+00,6.199801723572684331e+00,5.928839935093836999e-01
7.232178770949720104e+01,1.631602356467757176e+01,5.285697504563424687e+00,5.893742050850036662e+00,6.180634908767146385e+00,5.786753319443951327e-01
7.282402234636872151e+01,1.613296017080152467e+01,5.244344314558258446e+00,5.868891345851922736e+00,6.155212558045053406e+00,5.642888211883306804e-01
7.332625698324022778e+01,1.593078291852738637e+01,5.196444697054214856e+00,5.852975300764684974e+00,6.129083899985898753e+00,5.497288827693939117e-01
7.382849162011174826e+01,1.570913427737849943e+01,5.141266023314439160e+00,5.847306393901452459e+00,6.106642509854475875e+00,5.349999915167791276e-01
7.433072625698324032e+01,1.546821830278430809e+01,5.078114191403415134e+00,5.851558544437907017e+00,6.090995231254292541e+00,5.201066741853878073e-01
7.483296089385474659e+01,1.520885768151629591e+01,5.006398078551709929e+00,5.863456514680476239e+00,6.084355922463846156e+00,5.050535080645788266e-01
7.533519553072625285e+01,1.493249695368288243e+01,4.925692535029035923e+00,5.879207925981000393e+00,6.087041242305102351e+00,4.898451195713953710e-01
7.583743016759775912e+01,1.464114843345203454e+01,4.835792738855348993e+00,5.894548044138170795e+00,6.096824560057545028e+00,4.744861828286858763e-01
7.633966480446927960e+01,1.433728474038464817e+01,4.736753042847407613e+00,5.904971947876225258e+00,6.109212990756985207e+00,4.589814182285675281e-01
7.684189944134078587e+01,1.402368886124096825e+01,4.628904938523737300e+00,5.906040417144831522e+00,6.118397252508267492e+00,4.433355909816690255e-01
7.734413407821229214e+01,1.370327788689528248e+01,4.512851257438310171e+00,5.894191546556615258e+00,6.118754153749083713e+00,4.275535096525961976e-01
7.784636871508379841e+01,1.337891893773981522e+01,4.389436807455648903e+00,5.866928447487140375e+00,6.104956490415169412e+00,4.116400246820760556e-01
7.834860335195530467e+01,1.305325490664652754e+01,4.259698756583684798e+00,5.823443851935083515e+00,6.072859461820801386e+00,3.956000268962298616e-01
7.885083798882681094e+01,1.272855394637289983e+01,4.124802665760518572e+00,5.764956417977151304e+00,6.020665026683936105e+00,3.794384460034339046e-01
7.935307262569831721e+01,1.240659122799813119e+01,3.985971634439167133e+00,5.693455214549503651e+00,5.948589379612401196e+00,3.631602490792307236e-01
7.985530726256983769e+01,1.208856578645413116e+01,3.844416257746985366e+00,5.611458391728074702e+00,5.858737618518505386e+00,3.467704390397548520e-01
8.035754189944134396e+01,1.177505039190506153e+01,3.701272021814705493e+00,5.521850413913364619e+00,5.754751415556902394e+00,3.302740531041461480e-01
8.085977653631285023e+01,1.146596890152800086e+01,3.557548715361191771e+00,5.427841562591639857e+00,5.641326903517374092e+00,3.136761612464163962e-01
